path	disposition	reference	rationale
.github/workflows/release.yml	fork-specific	#179	fork release/build metadata; fork release publishing policy
cli/src/claude/claudeLocalLauncher.test.ts	upstream-issue	https://github.com/tiann/hapi/issues/1077	general fix reported against latest upstream main
cli/src/claude/utils/chatVisibility.test.ts	upstream-issue	https://github.com/tiann/hapi/issues/1077	general fix reported against latest upstream main
cli/src/codex/codexRemoteLauncher.test.ts	upstream-issue	https://github.com/tiann/hapi/issues/1069	general fix reported against latest upstream main
cli/src/codex/codexRemoteLauncher.ts	fork-specific	#179,https://github.com/tiann/hapi/issues/1069,https://github.com/tiann/hapi/issues/1070	Codex compact summary feature; shared path also carries separately reported upstream fix
cli/src/codex/utils/codexEventConverter.test.ts	fork-specific	#179	Codex compact summary feature
cli/src/codex/utils/codexEventConverter.ts	fork-specific	#179	Codex compact summary feature
cli/src/codex/utils/terminalEventGuard.test.ts	upstream-issue	https://github.com/tiann/hapi/issues/1070	general fix reported against latest upstream main
cli/src/codex/utils/terminalEventGuard.ts	upstream-issue	https://github.com/tiann/hapi/issues/1070	general fix reported against latest upstream main
cli/src/grok/grokRemoteLauncher.ts	fork-specific	#179	fork Grok launcher merge resolution
shared/src/messages.ts	upstream-issue	https://github.com/tiann/hapi/issues/1077	general fix reported against latest upstream main
shared/src/sessionSummary.ts	fork-specific	#179	bob fork customization import; archive visibility and session attention feature
web/src/chat/normalize.test.ts	fork-specific	#179,https://github.com/tiann/hapi/issues/1077	Codex compact summary feature; shared path also carries separately reported upstream fix
web/src/chat/presentation.test.ts	upstream-issue	https://github.com/tiann/hapi/issues/1077	general fix reported against latest upstream main
web/src/chat/presentation.ts	fork-specific	#179,https://github.com/tiann/hapi/issues/1077	Codex compact summary feature; shared path also carries separately reported upstream fix
web/src/chat/reducer.test.ts	upstream-issue	https://github.com/tiann/hapi/issues/1073	general fix reported against latest upstream main
web/src/chat/reducer.ts	upstream-issue	https://github.com/tiann/hapi/issues/1073	general fix reported against latest upstream main
web/src/components/AssistantChat/HappyThread.tsx	upstream-issue	https://github.com/tiann/hapi/issues/1067	general fix reported against latest upstream main
